track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
6wXmLFm3UrdGydNRyFexi3,Dimension,197333,37,['k-pop'],1FEdDqMaOL8oZYzI4n27GM,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,197.333
0KEgaOvobKmv9VVQg2WI0P,Are You Alive,186720,37,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,186.72
3xGMwzGkUqw2yhbcKgMMM2,Detective Soseol,200440,20,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,200.44
0jf6xDlMW6Bshrkcp4ypdv,Firework Diary,188800,15,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,188.8
2ZR6ME9lu9H9XScHtb7XjO,Love Child,181226,21,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,181.226
1f4bWDCDXGO2DcuEeBZ2bG,Persona,182120,13,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,182.12
0UWSpwkLFzCygKbpDNp0Op,Too Hot,201013,16,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,201.013
54qwqftG3xaMhMQ6KNYFO3,Diablo,200240,22,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,200.24
2RQzolv4s8FRTUQAHMeiu9,Friend Zone,197466,11,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,197.466
43AkJA7ZC9xbymWWsy7K3L,Love2Love,190546,20,['k-pop'],0mlAE8UhWOY2xuRH9osgOa,<ASSEMBLE25>,2025-05-12,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,190.546
6yNBs9cdpjASsBWk63txiF,Midnight Flower,166880,15,['k-pop'],3jOqNyGf9Vq9VPOMPRVK1w,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,166.88
1fnptBB5GGLbZoYtQuME3v,TOKYO,149906,37,['k-pop'],68PVcduJ9slzf5mvgDNemZ,tripleS ∞! ＜SecretHimitsuBimil＞,2025-10-01,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,149.906
6ivJJ3E7Y0FS73Xkf9g99L,ヘッドフォン,180680,39,['k-pop'],68PVcduJ9slzf5mvgDNemZ,tripleS ∞! ＜SecretHimitsuBimil＞,2025-10-01,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,180.68
1oaMLAc1qLNXyTbe97lCqO,Password,175813,38,['k-pop'],3hHURpKV3X6A1WgwKfASTU,tripleS ∞! ＜Password＞,2025-09-17,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,175.813
6qNmSfA3puyB5n5PRbE6RC,첫 이별 (Farewell My First),209266,32,['k-pop'],5N4IqtvtirF3QkEgHeacgX,Aria <Structure Of Sadness>,2024-01-15,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,209.266
1TZDaNtU02kQpusQh0zws0,Door,188026,15,['k-pop'],150gbib8eX8t6CblkJRS4o,Aria <Structure Of Sadness>,2024-01-15,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,188.026
