track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
1MlAkYV0nbRKWhhfvTt3zc,Don't You Worry Child - Radio Edit,213168,44,['edm'],2OW1FFaG8vgbRl0WilKz1B,Until Now,2012-01-01,,"['1h6Cn3P4NGzXbaXidqURXs', '2auikkNYqigWStoHWK1Grq']","['Swedish House Mafia', 'John Martin']",2012.0,213.168,67PaYmoZUrRaSXaWEIJglP
5jyUBKpmaH670zrXrE0wmO,Reload - Radio Edit,221272,71,['edm'],2UgmfoJF7x7cQmWADnoQdG,Reload (Vocal Version / Radio Edit),2013-01-01,,"['6hyMWrxGBsOx6sWcVj1DqP', '1tBU8jUEdVR3mqSsAqEGfD', '2auikkNYqigWStoHWK1Grq']","['Sebastian Ingrosso', 'Tommy Trash', 'John Martin']",2013.0,221.272,67PaYmoZUrRaSXaWEIJglP
69zxj1EFDfAouZu9JDmQld,Secrets - Radio Edit,216967,61,"['big room', 'slap house', 'house', 'electronica', 'trance', 'dance', 'edm']",4p3CULd5VeCSikL0PYkoP3,Secrets (Radio Edit),2015-04-03,,"['2o5jDhtHVPhrJdv3cEQ99Z', '2wX6xSig4Rig5kZU6ePlWe', '7HqEmV7FeCi16bQyHMpIrF']","['Tiësto', 'KSHMR', 'VASSY']",2015.0,216.967,67PaYmoZUrRaSXaWEIJglP
76fqWMe0buqQoaNTIbLWmr,Mammoth,332289,7,"['electronica', 'electro', 'big room', 'edm']",4H0bjkai5WPp6Y5oLpk2iv,Mammoth,2013-03-19,,"['73jBynjsVtofjRpdpRAJGk', '4xgFgBZ7CRtgtHcziClOwQ']","['Dimitri Vegas & Like Mike', 'MOGUAI']",2013.0,332.289,67PaYmoZUrRaSXaWEIJglP
4O799OM270z43L7pKzNqrt,We Like to Party - Original Mix,280990,52,"['hardstyle', 'electronica', 'big room', 'edm']",4uMuXdihVpcYnO8LF6GbXx,We Like to Party,2013-12-30,,['3gk0OYeLFWYupGFRHqLSR7'],['Showtek'],2013.0,280.99,67PaYmoZUrRaSXaWEIJglP
4soJPaN3etpZC72tHZztw3,Flashlight,232500,55,"['electro house', 'melbourne bounce', 'edm', 'slap house']",57zTr9eQz0d6JqRnHpcCBQ,Flashlight,2014-03-24,,"['6cEuCEZu7PAE9ZSzLLc2oQ', '6VD4UEUPvtsemqD3mmTqCR']","['R3HAB', 'Deorro']",2014.0,232.5,67PaYmoZUrRaSXaWEIJglP
51wkApQ7le2JWcFGLz84mr,Turn Up The Speakers,343129,45,"['electronica', 'big room', 'edm', 'progressive house']",1UZYYRkjn11x2mKROMeAYG,Turn Up The Speakers,2014-09-08,,"['4D75GcNG95ebPtNvoNVXhz', '60d24wfXkVzDSfLS6hyCjZ']","['AFROJACK', 'Martin Garrix']",2014.0,343.129,67PaYmoZUrRaSXaWEIJglP
51lNSgccz20lC4CCATJejy,Sally,277558,39,"['big room', 'electronica', 'deep house', 'progressive house', 'edm']",0ZZSo8nObNWR7fTyRZARez,United We Are,2015-01-23,,"['6BrvowZBreEkXzJQMpL174', '58O8UPrTdl4u2buM0skj94']","['Hardwell', 'Harrison']",2015.0,277.558,67PaYmoZUrRaSXaWEIJglP
6Yis2VwVcABCNVEutLgAf7,How We Party,211875,56,"['melbourne bounce', 'big room', 'edm', 'slap house']",3kA25T4kY1AwFVrLDJCzLE,How We Party,2014-08-15,,"['6cEuCEZu7PAE9ZSzLLc2oQ', '4mrBetqy378Jf1y6NLszlx']","['R3HAB', 'VINAI']",2014.0,211.875,67PaYmoZUrRaSXaWEIJglP
7vKfym6hgeJxxyyVpiXBBX,Animals,303040,1,"['electronica', 'edm', 'progressive house']",3ZjQrlQwectSpi9se2GGHM,Animals,,,['60d24wfXkVzDSfLS6hyCjZ'],['Martin Garrix'],,303.04,67PaYmoZUrRaSXaWEIJglP
