track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner,user_id
4FgVnU3X6rcmnd5ujsfoK6,Say My Name - Sub Focus Remix,193103,60,"['liquid funk', 'drum and bass', 'hard house']",5DE66vw3jDlI0K2odEo8sm,Say My Name (Sub Focus Remix),2025-04-04,,"['0GInfEJXl2kGPhSsVqEqXh', '0QaSiI5TLA4N7mcsdxShDO']","['Morgan Seatree', 'Sub Focus']",2025,193.103,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
6POvzcHeKt5SEDTrptAKO8,Back 2 Dance,172413,30,"['bassline', 'drum and bass']",7FpGVcwKzPiGQnTIIQJyF1,Back 2 Dance,2025-01-17,,['5DygptUY6coQHpmgFfISzQ'],['A.M.C'],2025,172.413,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
7JUmXIkoaPshCRdyw5nEEh,Empire,262068,49,"['drum and bass', 'liquid funk']",5XDaDZ3w9wxPvrKeKzhg1E,Empire,2025-04-04,,['6lp2VnIRXXpC9Wz7hSX6RE'],['Culture Shock'],2025,262.068,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2B0xsnWUjm7cPLs9gGoepp,On & On,184827,71,"['drum and bass', 'liquid funk']",4MkZ4elzb1iHTMmzyYh1Jc,On & On,2025-03-14,,"['0QaSiI5TLA4N7mcsdxShDO', '2UNjfzEkfsdWVDwnuD6vdH']","['Sub Focus', 'bbyclose']",2025,184.827,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1dgTcXVMLvp0aeiBFPtW9a,Outlaw,177136,45,"['uk grime', 'drum and bass', 'liquid funk', 'grime']",1CmpfvkAdZF2M3X25bwsWQ,Outlaw,2025-03-28,,"['410Yzyq0DmhJImIxqy5wOC', '1AKNroq6zJX4DlJaA0dcKw']","['Flowidus', 'Frisco']",2025,177.136,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
35mele207P8xoKXOsTh52L,PURPOSE,167314,45,"['drum and bass', 'drumstep']",0gXmfiCDIV0DRnHakUxXjU,PURPOSE,2025-05-13,,"['3Xtaqhj8MygkfndSArQOOS', '6iwQ21ctUhnKozPAQx6zyC']","['Blooom', 'Maksim MC']",2025,167.314,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
0PqYsNLTkPDMvlcFMEeLZ3,XTC,215730,27,"['bassline', 'drum and bass']",0B54AlSGakyaFEMGHf714H,XTC,2024-12-11,,['6GkcKgyIKaZxmZGcKdJDxL'],['Formula'],2024,215.73,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
4fAvysHdWEzLa4B4U6RC1x,On & On - Kanine Remix,175248,55,"['bassline', 'drum and bass', 'liquid funk']",0uEVqyZv8X2oZqG0abb3AV,On & On (Kanine Remix),2025-05-16,,"['0QaSiI5TLA4N7mcsdxShDO', '2UNjfzEkfsdWVDwnuD6vdH', '1KiNUGL3r0GgyLwqYCY1yV']","['Sub Focus', 'bbyclose', 'Kanine']",2025,175.248,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1kq7feGMFG3NPRwm5XR5fs,California Dreamin',170057,52,['drum and bass'],3pzkEzkgov9KStfPxPiA1C,California Dreamin',2025-04-02,,['0ycvq8upLhNmddPdQXhLOy'],['Arcando'],2025,170.057,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
5L77XvT57nOMNth7TuSm7a,Heaven,208275,47,"['drum and bass', 'liquid funk']",7kU8Zlye6UZe03yWzkZKxC,Heaven,2025-05-30,,"['7xu08SujAqLp7BGinS96vd', '4PxFr57PZWOCVJ5HkJyaoD']","['Venjent', 'Oktae']",2025,208.275,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
6aBm5lBiBcEBc8moW055LI,TYPE SH*T,212870,61,"['edm trap', 'future bass', 'edm', 'dubstep', 'riddim', 'deathstep', 'bass house']",78bvzzE2E47QhUUoYhmJ4g,TYPE SH*T,2025-06-06,,"['5lCekoJW9jNq01B1wiqdAb', '76M2Ekj8bG8W7X2nbx2CpF', '24zj84GShUIcBQYq6VpOYW']","['Crankdat', 'NGHTMRE', 'Duke Deuce']",2025,212.87,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
0AdQigPVEFZrgzdBGHEnuC,shake!the!city!,196129,53,"['bassline', 'edm', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,"['6mmSS7itNWKbapgG2eZbIg', '6n4qDgsuoohAN5Q7HebLvU']","['Knock2', 'Naliya']",2025,196.129,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2zlDtXQorGWTSTyxuZvOxM,dance or dead,173413,45,"['thai pop', 'edm', 'bassline', 'thai trap', 'k-pop', 't-pop', 'thai hip hop', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,"['6mmSS7itNWKbapgG2eZbIg', '1eVPKI2R4NlX6P5FIuMXis']","['Knock2', 'MILLI']",2025,173.413,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
68V8nkmtQAnQ1daNWc9sFO,"crank the bass, play the muzik",208086,51,"['bassline', 'edm', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,['6mmSS7itNWKbapgG2eZbIg'],['Knock2'],2025,208.086,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
5Gyk61VF5P3eIJ1dZwI7nh,party! (dance alone),160427,45,"['hyperpop', 'edm', 'bassline', 'jersey club', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,"['6mmSS7itNWKbapgG2eZbIg', '1bhZt10yZVCJfp3HaNxJv8', '0647ep4AirMtU3Iq9YcBXm']","['Knock2', 'Riovaz', 'cade clair']",2025,160.427,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
55uf1FtsrO1C1pQU457O5h,select@,164139,47,"['bassline', 'edm', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,['6mmSS7itNWKbapgG2eZbIg'],['Knock2'],2025,164.139,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1Ox9wm23PPkBUPLzKYekgY,ready 2,166913,43,"['bassline', 'edm', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,['6mmSS7itNWKbapgG2eZbIg'],['Knock2'],2025,166.913,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
0lU2cMyeOWRimsZaN0qQVn,lights down low,224019,44,"['bassline', 'edm trap', 'edm', 'bass house']",0m7RPdwNo1gte0nUSwh2yv,nolimit,2025-01-17,,"['6mmSS7itNWKbapgG2eZbIg', '4IVi10Tw5s4iwiPUvh6DcF', '4jz58WEDWGF8fy6s58F2nV']","['Knock2', 'RemK', 'XAELO']",2025,224.019,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
4ZlQBzmVQ1n8qAdIN1enMV,Icarus - Shockone Remix,173793,35,"['metal', 'drumstep', 'post-hardcore', 'djent', 'drum and bass', 'dubstep', 'riddim', 'deathcore', 'deathstep', 'bass music', 'metalcore', 'liquid funk']",2Bw07TP2W63OU9lbYHquGc,Icarus - Shockone Remix,2024-11-08,,"['0mO3Yf5XIPHfAbHh8yWLFk', '0v2e0oznnTaIXKLGKHphfX', '1yShtQaHjChbToQboKRzgH']","['PhaseOne', 'Polaris', 'ShockOne']",2024,173.793,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
