track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner,user_id
5rMdkUncqN8Ge7FfsuQdY6,Everything,142531,22,"['progressive house', 'electro house', 'edm', 'big room', 'hypertechno']",4DcU5B0uENei4Ae6sOGkvw,Everything,2025-01-10,,"['1PFc84GHTYPL0G12JHh9Mc', '4NInysVDJHz7PCE9PfRs31']","['Dannic', 'Kristianex']",2025,142.531,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
23T4gTcSy5qMNtea2karbl,Desires,193039,15,"['big room', 'bass house']",4ywAbu8FQzFzTlURJdceId,Unity,2025-01-24,,['4lWmv250WqWOnM0FKmHxiO'],['NLW'],2025,193.039,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
0s0cXnMA4FgFHB7qw6hxhn,Dancing On My Own,151341,24,['big room'],1v2s7kr4QUuSAyoFyz3x3l,Dancing On My Own,2025-01-10,,['1ixUkzNMckS7Llxh1PP9p4'],['George Wonder'],2025,151.341,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
2RXvYCJwjYdv9silET9bp2,Loco,171212,15,"['big room', 'bass house']",4ywAbu8FQzFzTlURJdceId,Unity,2025-01-24,,['4lWmv250WqWOnM0FKmHxiO'],['NLW'],2025,171.212,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
0HsXfYwVE21j9LGQuV7Tvp,Night In Detroit (feat. Fedde Le Grand),166356,54,"['dance', 'edm']",5Z3KQqAraMareSBBjb4AZ1,Night In Detroit (feat. Fedde Le Grand),2025-01-24,,"['19HFRWmRCl27kTk6LeqAO8', '1Cs0zKBU1kc0i8ypK3B9ai', '7dc6hUwyuIhrZdh80eaCEE']","['MORTEN', 'David Guetta', 'Fedde Le Grand']",2025,166.356,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
1aGXmfXBq4koas7v3277P3,I Follow Rivers,198750,68,"['house', 'dance', 'big room', 'edm', 'stutter house', 'trance']",7CUOkVn3NrdH1Q6y2hmEQx,Prismatic: Pack One,2025-01-31,,"['2o5jDhtHVPhrJdv3cEQ99Z', '1X2sRzO3K7Uvry9JWbG2iO']","['Tiësto', 'Oaks']",2025,198.75,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
4bdQhbucGehpzEZQgxTv36,Arsonist,135692,42,"['latin house', 'hypertechno', 'big room', 'tech house', 'future house']",0itXC9BJZhqiNjNXFwwdln,Arsonist,2025-01-17,,"['0k52cXAjNIDjZOE1WDEV93', '3Hzok9apHnCGDDkGltQcMg']","['NOME.', 'Kris Kiss']",2025,135.692,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
17YBzqFJYoX3jhzPgP55WD,Solodance,176976,36,['big room'],3dkCyIgjPSL5knHWzRvWAw,Solodance,2025-01-17,,"['49CE2ffZ6Z3zeYSDauSKck', '2rdUWyphqOltYR6zPaMPrU']","['Tungevaag', 'Liis Lemsalu']",2025,176.976,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
0WXchilrgJHgVBxOcB1E3h,Air Max,180689,25,"['bassline', 'drum and bass', 'big room', 'bass house']",4ywAbu8FQzFzTlURJdceId,Unity,2025-01-24,,"['4lWmv250WqWOnM0FKmHxiO', '37C3qTCakuZc3EjTari9lU']","['NLW', 'Primate']",2025,180.689,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
3XDMzgyn93dezeGvfWG0Ov,Maneater,182892,51,"['melbourne bounce', 'edm', 'progressive house', 'big room']",0BBJeh8FNbTA7SrZ46lnwL,Maneater,2025-01-10,,"['6WGE3kO8ULME2ErBcOksSR', '4ugGMtXC28CVR5hlYJy9wV']","['KAAZE', 'Luciana']",2025,182.892,003SVeRlQoTLc8bzLZVQiR,THE BEST MAINSTAGE 2025,Jimin,5
