track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
1k255f17DRuRbGrfz5Ifmd,wherever u r (ft. V of BTS),153034,68,['k-pop'],2LwzZahqXWr0POXIWI7WaN,wherever u r (ft. V of BTS),2023-12-30,,"['4ClziihVpBeFXNyDH83Lde', '3JsHnjpbhX4SnySpvpa9DK']","['UMI', 'V']",2023,153.034,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
4dmruTsdHIOjfOIeaFitXK,幾億光年,276918,70,"['city pop', 'anime', 'japanese indie', 'j-pop']",6lVM8WvZY6lpBO9zrBRnE9,幾億光年,2024-01-24,,['63ylN6WBUUxxMsySiDmr0B'],['Omoinotake'],2024,276.918,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
4hsEFcCA7AL5hlKG4PRp2Z,Michi Teyu Ku (Overflowing),310997,67,['j-pop'],06qRSgIo9l4Gf7ACV6JZQq,Michi Teyu Ku (Overflowing),2024-03-14,,['6bDWAcdtVR3WHz2xtiIPUi'],['Fujii Kaze'],2024,310.997,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1COwDVmbGb7EWvzsw7aHKe,君はハニーデュー,277206,41,['j-pop'],0jJWC4qCtOpYlyu9wEsEFG,君はハニーデュー,2024-03-22,,['0eQSoTI7sQENREQM8Klp2j'],['Hinatazaka46'],2024,277.206,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
7zOjmnHDE1Wg7SPwbGdpPr,チャンスは平等,253493,42,"['anime', 'j-pop']",4zSEHTrIKneN7Zepl7Km9g,チャンスは平等,2024-03-18,,['08lN7bm4Etec8ETFxaTUmq'],['Nogizaka46'],2024,253.493,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
45UVorDHdb5BugXpHjuorv,こだま,184600,39,"['j-rock', 'anime', 'j-pop']",1RlXyJ5oN0EfFQPZXDriLq,こだま,2024-02-28,,['7kOrrFIBIBc8uCu2zbxbLv'],['yama'],2024,184.6,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1JrxwbZ9u0VNwemdcJwZNi,SOULSOUP,314469,46,"['j-rock', 'anime', 'j-pop']",2nilNZLuzCuFSkhXC2h10C,SOULSOUP,2023-12-13,,['5Vo1hnCRmCM6M4thZCInCj'],['OFFICIAL HIGE DANDISM'],2023,314.469,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
78dsAqvPezU0xkeEJMjlj3,Down,129796,48,"['dance', 'edm']",5yrqPWuCSAo6beZdIBYAUU,Nu King,2024-02-16,,"['07YZf4WDAMNwqr4jfgOZ8y', '1Cs0zKBU1kc0i8ypK3B9ai']","['Jason Derulo', 'David Guetta']",2024,129.796,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0Zhz2M5XyepnbqxXk1Zd4O,一笑江湖 - DJ弹鼓版,230844,61,"['gufeng', 'c-pop', 'mandopop']",6jiXMDW9TCV7nWAL6CNHJy,一笑江湖 (DJ版),2023-10-12,,['1qpe09vYC83Kbgro8hv4HN'],['闻人听書_'],2023,230.844,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
096KHkONhQm4MQNH35mU22,鬼ノ宴,175998,66,['j-pop'],4hHgHqD2J1D4bvlzmzzCeT,鬼ノ宴,2024-01-10,,['2UMMVk4WPg6pKXQGvufnuG'],['TOMONARI SORA\t'],2024,175.998,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
