track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
6iycYUk3oB0NPMdaDUrN1w,EVIL J0RDAN,183928,86,['rage rap'],0fSfkmx0tdPqFYkJuNX74a,MUSIC,2025-03-14,,['699OTQXzgjhIYAHMy9RyPD'],['Playboi Carti'],2025,183.928,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7HRW1XRyOITRJWrygoKL9u,Different 'Round Here,176000,75,['country'],0s8C6oQDtxObNVDfFKD5MR,Ain't My Last Rodeo,2023-10-13,,"['2QMsj4XJ7ne2hojxt6v5eb', '718COspgdWOnwOFpJHRZHS']","['Riley Green', 'Luke Combs']",2023,176.0,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7GqNLsydHDulc4ifcS4Qqb,You Had To Be There (feat. Kenny Chesney),220157,78,['country'],3W0Ygv9YJbtfMNM9iHtbNk,You Had To Be There (feat. Kenny Chesney),2025-05-09,,"['5Ppie0uPnbnvGBYRwYmlt0', '3grHWM9bx2E9vwJCdlRv9O']","['Megan Moroney', 'Kenny Chesney']",2025,220.157,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),164011,75,['country'],6w0ujcFPqoqOzgzYsUWYXJ,Guy For That,2024-07-26,,"['246dkjvS1zLTtiykXe5h60', '718COspgdWOnwOFpJHRZHS']","['Post Malone', 'Luke Combs']",2024,164.011,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
0mNzElhEofvgMWAJoOA4q9,Pour Me A Drink (Feat. Blake Shelton),195122,77,['country'],4BbsHmXEghoPPevQjPnHXx,F-1 Trillion,2024-08-15,,"['246dkjvS1zLTtiykXe5h60', '1UTPBmNbXNTittyMJrNkvw']","['Post Malone', 'Blake Shelton']",2024,195.122,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,193200,82,['country'],53Oa5Bu0UTU8o8qCTaHKoz,This One's for You Too (Deluxe Edition),2018-06-01,,['718COspgdWOnwOFpJHRZHS'],['Luke Combs'],2018,193.2,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
4Iu73sdCNxZXZUIyClMoPZ,Better Me For You (Brown Eyes),194120,83,[],10hjsM00M8pghNdZRwOShY,Night Diving,2025-01-24,,['340PS4ZcZ4UCBgyrXzEjcp'],['Max McNown'],2025,194.12,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7grWGhX8SHNmyGOkMNVMCt,There Was This Girl,194426,77,['country'],0wEnZguPw6l4Rcdgzcm5qv,Different 'Round Here,2019-09-20,,['2QMsj4XJ7ne2hojxt6v5eb'],['Riley Green'],2019,194.426,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
58is1MxJ0mafkdwalyYanU,Backup Plan (feat. Luke Combs),181518,83,['country'],7zSwRYnnPvr3BIljhzf9uQ,Backup Plan (feat. Luke Combs),2025-05-02,,"['3win9vGIxFfBRag9S63wwf', '718COspgdWOnwOFpJHRZHS']","['Bailey Zimmerman', 'Luke Combs']",2025,181.518,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
076VrUmpXj8ehHyxTtI67o,The Look In Your Eyes,227746,49,[],7944UXvtl6TLww9pSLBMjh,Spring of Youth (Original Soundtrack) Part.3,2025-05-14,,['0XyauZtJR5bmU3AAB5wC9U'],['WONHEE'],2025,227.746,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
