track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
2b0rKEeZLRqml5xVNccMuh,How Will Know,172500,39,"['funky house', 'disco house', 'tech house']",5Rg9xEd9Bb5g0rU15c6Fjg,How Will I Know,2025-07-04,,"['07VdEUK5mf0rifGeNqs0Wg', '6EDKZ3fyIzcualNVjPayM4', '0hEVrtPQzlVt1Rilq8A4nA']","['Kevin McKay', 'Fab Massimo', 'Chantal Lewis Brown']",2025,172.5
67CkO6Qva8D78RISimeX1n,B2U,168029,51,"['moombahton', 'g-house', 'bass house', 'tech house', 'electro house', 'edm']",3n4wJlkHBkt2qrPzirQNaN,B2U EP,2025-07-18,,"['5R3Hr2cnCCjt220Jmt2xLf', '0EdUwJSqkMmsH6Agg3G8Ls']","['Dillon Francis', 'Marten Hørger']",2025,168.029
1AS1oLvEr6PNsCLnuEUmCi,Blackberries,121846,62,"['house', 'tech house']",0F0JTnpQ50g9dVcX2CiNOn,Blackberries,2025-07-18,,"['1VJ0briNOlXRtJUAzoUJdt', '2UNjfzEkfsdWVDwnuD6vdH']","['FISHER', 'bbyclose']",2025,121.846
4vz9p6UynS3hhSYJDBHVC4,IDFWU,206511,45,"['house', 'tech house']",3Vlgybs9NnIHOCsL70wWdd,IDFWU,2025-07-11,,"['6Se1y4vDcu9fVHLqdj1N3q', '44T94QQEc60Jf7kqGY6Rip']","['Wuki', 'Lee Foss']",2025,206.511
16whhNiz4qwdDvqGE5jrlR,Prescribe The Sound,166500,36,['tech house'],7A06KR7mBgk0cRy93AnZPR,Prescribe The Sound,2025-07-11,,['1JtDSmvj4bVA8pBszG43fK'],['Friendly Fire'],2025,166.5
0vJYwQEHHUVsGci352dW7N,Trust,201327,48,"['progressive house', 'melodic house', 'melodic techno', 'techno']",4c3Kz5tCTM55ALfZyJXImH,Trust,2025-07-11,,"['71rqI5HtraA3qXBwatyG6e', '4CvDmoy5yE6L4hdBOHg1sz']","['Innellea', 'SCRIPT']",2025,201.327
2gtR8ffUU1xAOsTNeaEe3A,Galaxy,193357,57,"['progressive house', 'melodic house', 'melodic techno', 'techno']",6Ef5H4o43CHIat5nXoGdms,Galaxy,2025-07-11,,['3BkRu2TGd2I1uBxZKddfg1'],['ARTBAT'],2025,193.357
0m00au0MMoII2767mu4sj7,All This Time,223898,62,['house'],2VpQLsVZOBVzuDmTHsQETP,All This Time,2025-07-18,,"['39B7ChWwrWDs7zXlsu3MoP', '7zAAwgV5Wqmvpb4GzvlRkP']","['Sonny Fodera', 'Jazzy']",2025,223.898
4aHbNb41EVPHpd7bDlm0qm,Loveless,193576,56,['house'],3J7RqdFl8npQPq43yPTngZ,Loveless,2025-07-18,,['4VNQWV2y1E97Eqo2D5UTjx'],['Gorgon City'],2025,193.576
0G6r9pghzSm8gGfgV64pHn,Melodia,183636,60,"['melodic house', 'melodic techno', 'techno']",5ibwloBOv2GUuh8TKVllmL,Melodia,2025-07-18,,"['1NaQOKgddaJipUtmptb7GI', '0xRXCcSX89eobfrshSVdyu', '3mRSi79NwnlKaOH8vFxBVL']","['Argy', 'MEDUZA', 'PollyAnna']",2025,183.636
