track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names
6Se2CmNlRIisQjUkZIxWtk,离开我的依赖,207574,39,"['c-pop', 'chinese r&b', 'mandopop']",431Ex3YnkFw9Eb1aylMmIY,离开我的依赖,2025-09-04,,['3QCXgdYV5EgHesmUfxAEpk'],['cici_']
14L7bSbRnV8qVx2maqEerm,風月,228589,51,"['c-pop', 'chinese r&b', 'mandopop', 'gufeng']",7EylDxLGezJsTcn9HwVV64,齡·EP,1970,,['6OAQlHABRwPJYVTkaSmiJ9'],['黃齡']
6DxAkkf4f8C5LeRpS4GulJ,壁上观,252847,47,"['c-pop', 'mandopop', 'gufeng']",7prcstEoN1Giezb0j0VMgr,壁上观,2024-08-26,,['78AY3Om5aSudpD4afaM6AI'],['邓寓君(等什么君)']
2xjFcZi3PgV3tLw1jdo52B,鸳鸯戏,213452,45,"['c-pop', 'gufeng']",4kn3mXopb5F48cd4lkEkFX,鸳鸯戏,2024-11-29,,['5pNHyD7fcJhOWLzghri069'],['邓寓君(等什么君)']
5xce2w3Z3TqZQgnEWaYhOv,听夜雨,200307,46,"['c-pop', 'chinese r&b', 'gufeng']",0FIaze7Bltu1474dqbMvwR,听夜雨,2025-06-06,,['6ZdMglt39EkXuu6sDAacjM'],['礼越']
2yV3wwlVGmGDA3Uz94x3Kq,难却,186666,45,"['c-pop', 'gufeng']",5a1chjfhQ26djNF69RRpWm,难却,2022-08-02,,['4xB7IggwEbvBcdRdZxWyQk'],['平生不晚']
7j3y8Vixa5CULq5wmHybgd,春庭雪,240879,53,"['c-pop', 'mandopop', 'gufeng']",5hjWZx4tPtFtuYUJIb5vgU,春庭雪,2020-07-22,,['6stPrcreG671w8jLivyFQ6'],['等什么君']
2IShEbI8pvFt65IzTKxIaH,探故知,201600,45,"['c-pop', 'gufeng']",6vimtBDLKtUAXGn4YFSNvd,探故知,2023-10-19,,['5N98rYrUBVIILXaNDLoEff'],['浅影阿']
75Qun1t34fGbgvHPYDZy1D,寡城,234608,1,['mandopop'],7umJoVb5WnxnHLoQqYARVv,寡城,2024-02-23,,['44Z7F8aTmyWuqHonllvhnq'],['侯泽润']
1iu78CCQRqFridShExLbSi,盗将行,198126,45,"['c-pop', 'chinese indie', 'mandopop', 'gufeng']",5KLTN6joyLZXWOhIMMkN6e,盗将行,2018-06-19,,"['148sD27V3Nr0XFl3TZNwmw', '1kAQfi76NXr3dwCZSkYFC7']","['花粥', '马雨阳']"
4KV2qlzYfLo437r65PasfX,关山酒 - 戏腔版,225000,32,"['c-pop', 'gufeng']",1KBFY7gZ1l6HajDITOiUvV,关山酒 (戏腔版),2023-12-06,,['4xB7IggwEbvBcdRdZxWyQk'],['平生不晚']
2vYVMOuyGuOQ1OhdITjnQe,伯虎说 - 卡点版,131000,55,"['c-pop', 'mandopop', 'gufeng']",2Xd27DW5i745qwDTLif3X1,伯虎说 (卡点版),2025-09-08,,"['7xzC31BgSOWsAvun3j2bSS', '0i6oXnPR78jPCTtBt7tNGv']","['伯爵Johnny', '唐伯虎Annie']"
1g3o0n9ubLZlDKZq1sfI15,知我,292000,46,"['c-pop', 'gufeng']",6j09Loq25jwO8OHVIi0TbV,知我,2019-10-08,,['152pwp3eREIzPipk8gd9h5'],['哦漏']
1ihC1wdthGSoMN8KmunuRB,知我 - 抒情版,260617,17,"['c-pop', 'gufeng']",3rMdJsc5fI6vynb9KKuwiQ,知我 (抒情版),2020-04-03,,['5vK7fosAmZpyGSaZJArxhU'],['尘ah']
0CWAQlHsvfqcKJVVz9up2R,セレナーデ,219733,65,"['anime', 'j-pop']",5bPtxy1zsivShMZKJVrzfF,深海,2026-01-21,,['6WmXWHmfBMhupyIs8MSqtu'],['natori']
6lanRgr6wXibZr8KgzXxBl,a thousand years,285120,85,['soft pop'],15yvc643iYfQtb6zh9NEJo,a thousand years,2011-10-18,,['7H55rcKCfwqkyDFH9wpKM6'],['Christina Perri']
2RMR0ktNVX6KmpYTCc2TwL,ピンボール (Pinball),193000,46,['k-pop'],4wywAxm5NwYkpngq2hIFWj,ピンボール (Pinball),2026-01-21,,['5deOsjuFTKrNMJW3rKuL8S'],['RESCENE']
0OgOvU69S4QuJYTMlIurn0,Before spring ends（在春天消失之前）,178142,63,"['chinese indie', 'chinese r&b']",1vg9EvdxxsKHFXkvPWN486,Before Spring Ends,2024-04-03,,"['21QQNTzqULHjiaDKaZepRP', '1i1GIYkaUE0jhxvSue4D6b']","['Wang OK', '李天责']"
6vOOQuIrxAxSnHlEr0W5jy,ドレスコード,241133,45,['j-pop'],2eUg1Ua42nP4VkqADbbFgL,ドレスコード,2026-01-21,,['2aoUBwmHWln0JSEZbi9E70'],['にしな']
